	Length
count	7847.0
mean	139.71772651968905
std	91.21353081339679
min	75.0
25%	90.0
50%	110.0
75%	145.0
max	1190.0
mode	95.0
ATACseq_overlap	0.4059678052610915
ATACseq_ranges_overlap	0.20371317946121958
ATACseq_Jaccard	0.15682926041448697
DNAseq_overlap	0.3600355570720188
DNAseq_ranges_overlap	0.2925832181800769
DNAseq_Jaccard	0.19237972893468416
genes_overlap	0.702503272176693
percentage_open	0.01216104591705638
percentage_open_adj	0.012579652111947653
model_name	k-prototypes processed
boxplot_json	"{""mean"":139.7177265197,""iqr"":55.0,""cilo"":109.0252112338,""cihi"":110.9747887662,""whishi"":225,""whislo"":75,""fliers"":[245,415,520,250,330,550,320,425,295,260,500,565,255,370,370,370,325,260,310,375,250,275,645,240,315,230,285,460,350,250,500,245,415,255,500,395,270,285,235,250,250,720,350,300,240,230,410,315,415,305,290,300,705,295,275,265,430,330,340,240,250,340,255,350,240,315,405,485,265,240,315,725,230,270,365,325,345,250,705,240,240,385,330,470,305,530,340,330,305,680,280,230,300,260,245,320,290,300,530,245,230,730,575,495,545,230,360,250,390,595,270,255,315,625,260,595,250,290,305,235,235,480,295,235,315,415,440,230,455,325,315,315,395,230,235,410,325,670,335,325,270,275,445,265,230,240,260,235,230,425,310,875,230,450,470,315,245,360,345,370,315,275,340,320,350,335,240,340,335,460,275,325,630,440,310,405,245,235,255,665,240,585,285,500,255,330,325,305,250,365,240,370,230,335,265,535,275,370,305,355,235,325,385,275,325,530,300,560,275,500,350,620,240,545,235,255,370,270,315,320,345,255,285,265,360,410,410,395,245,475,250,295,350,315,270,255,555,465,410,455,465,270,295,680,375,305,360,240,385,710,455,330,240,540,295,520,350,230,410,290,305,340,410,425,290,325,430,295,270,375,385,375,255,245,245,465,375,240,310,280,240,400,455,370,295,325,295,240,320,230,520,280,300,320,285,230,655,600,390,330,875,710,900,235,400,260,485,445,235,245,285,270,270,310,240,590,330,565,255,240,400,300,245,460,740,295,355,265,230,245,530,545,730,550,590,840,775,275,365,315,310,270,370,360,325,235,485,250,310,255,370,495,250,350,235,325,260,285,600,260,250,305,275,410,310,630,305,285,255,250,510,240,260,405,230,250,280,265,275,300,345,285,360,395,245,310,270,240,230,395,315,260,290,230,625,305,235,260,325,485,285,240,285,320,355,930,640,515,315,610,270,235,330,295,325,315,285,255,360,395,250,665,530,250,260,235,275,580,425,335,320,695,235,535,290,235,485,355,420,490,270,520,415,435,480,535,235,300,365,1190,305,300,390,345,305,305,245,405,385,560,290,370,500,230,395,355,310,405,355,370,470,375,255,325,655,325,370,320,250,380,275,250,355,320,595,275,305,330,275,320,495,405,260,255,330,370,285,230,250,380,270,265,235,805,240,310,370,310,315,305,330,645,335,270,365,300,430,280,285,425,255,230,265,315,270,315,760,240,245,515,430,365,400,280,295,280,375,385,435,250,230,290,265,300,235,255,270,310,525,320,255,255,310,260,265,515,350,300,495,550,350,245,230,290,375,365,245,410,285,240,245,230,270,255,355,510,390,305,235,305,280,440,545,375,345,455,590,305,405,365,310,325,385,715,335,310,405,305,240,305,350,590,335,240,315,365,400,370,335,235,235,230,270,240,295,245,295,350,255,280,230,465,250,255,465,435,495,230,425,235,240,630,330,295,250,295,440,430,265,425,235,285,260,365,280,305,290,375,280,430,420,350,450,325,325,375,290,300,340,260,310,315,615,320,375,235,320,330,245,295,265,370,310,235,260,415,285,285,260,480,240,310,310,250,415,260,235,245,335,460,875,405,275,250,280,280,235,325,240,245,535,240,275,315,285,275,310,370,385,310,270,350,505,375,245,245,400,310,230,335,310,285,255,285,230,275,270,270,400,270,440,275,245,265,330,280,250,340,245,310,285,240,330,250,510,685,295,435,425,260,405,395,800,250,275,420,360,250,275,235,235,330,310,340,375,360,255,370,270,415,300,255,235,390,360,230,250,340,260,255,330,295,530,605,250,340,455,290,265,415,410,360,445,330,300,325,395,440,290,295,905,530,410,265,240,545,270,390,330,430,295,490,360,300,320,355,270,255,300,300,250,235,240,250,710,230,230,585,235,250,240,240,330,270,435,335,265,305,420,290,245,230,530,260,300,295,255,670,355,250,330,315,315,360,325,290,285,265,355,325,405,265,270,315,245,250,325,290,375,275,290,255,370,465],""q1"":90.0,""med"":110.0,""q3"":145.0}"
